tweet_id,favorites,retweets,user_followers,user_favourites,date_time
669749430875258880,278,67,7415094,139459,2015-11-26 05:28:02
669753178989142016,832,417,7415094,139459,2015-11-26 05:42:55
669923323644657664,242,59,7415094,139459,2015-11-26 16:59:01
669926384437997569,385,108,7415094,139459,2015-11-26 17:11:11
669942763794931712,521,173,7415094,139459,2015-11-26 18:16:16
669970042633789440,307,63,7415094,139459,2015-11-26 20:04:40
669972011175813120,455,168,7415094,139459,2015-11-26 20:12:29
669993076832759809,332,87,7415094,139459,2015-11-26 21:36:12
670003130994700288,341,96,7415094,139459,2015-11-26 22:16:09
670037189829525505,600,288,7415094,139459,2015-11-27 00:31:29
670040295598354432,768,115,7415094,139459,2015-11-27 00:43:49
670046952931721218,660,181,7415094,139459,2015-11-27 01:10:17
670055038660800512,684,342,7415094,139459,2015-11-27 01:42:24
670061506722140161,785,353,7415094,139459,2015-11-27 02:08:07
670069087419133954,647,252,7415094,139459,2015-11-27 02:38:14
670073503555706880,1604,817,7415095,139459,2015-11-27 02:55:47
670079681849372674,2269,1286,7415704,139461,2015-11-27 03:20:20
670086499208155136,713,262,7415095,139459,2015-11-27 03:47:25
670093938074779648,1052,349,7415095,139459,2015-11-27 04:16:59
670290420111441920,723,298,7415095,139459,2015-11-27 17:17:44
670303360680108032,435,139,7415095,139459,2015-11-27 18:09:09
670319130621435904,3941,1270,7415095,139459,2015-11-27 19:11:49
670338931251150849,437,114,7415095,139459,2015-11-27 20:30:30
670361874861563904,337,69,7415095,139459,2015-11-27 22:01:40
670374371102445568,759,277,7415095,139459,2015-11-27 22:51:19
670385711116361728,576,220,7415095,139459,2015-11-27 23:36:23
670403879788544000,443,163,7415095,139459,2015-11-28 00:48:35
670408998013820928,569,233,7415095,139459,2015-11-28 01:08:55
670411370698022913,2075,933,7415095,139459,2015-11-28 01:18:21
670417414769758208,581,333,7415095,139459,2015-11-28 01:42:22
670420569653809152,639,327,7415095,139459,2015-11-28 01:54:54
670421925039075328,1338,659,7415095,139459,2015-11-28 02:00:17
670427002554466305,529,170,7415095,139459,2015-11-28 02:20:27
670428280563085312,1414,654,7415095,139459,2015-11-28 02:25:32
670433248821026816,334,117,7415095,139459,2015-11-28 02:45:17
670434127938719744,1437,668,7415095,139459,2015-11-28 02:48:46
670435821946826752,1074,536,7415095,139459,2015-11-28 02:55:30
670442337873600512,658,204,7415095,139459,2015-11-28 03:21:24
670444955656130560,6859,2048,7415095,139459,2015-11-28 03:31:48
670449342516494336,1220,695,7415095,139459,2015-11-28 03:49:14
670452855871037440,560,215,7415095,139459,2015-11-28 04:03:11
670465786746662913,989,573,7415095,139459,2015-11-28 04:54:34
670468609693655041,358,87,7415095,139459,2015-11-28 05:05:47
670474236058800128,1565,789,7415095,139459,2015-11-28 05:28:09
670668383499735048,10966,5220,7415095,139459,2015-11-28 18:19:37
670676092097810432,258,45,7415095,139459,2015-11-28 18:50:15
670679630144274432,765,295,7415095,139459,2015-11-28 19:04:19
670691627984359425,601,252,7415095,139459,2015-11-28 19:51:59
670704688707301377,780,383,7415095,139459,2015-11-28 20:43:53
